TID,Category,Description,Pre-conditions,Steps,Expected,Priority
TC_API_001,Functional,Verify `/ping` endpoint returns successful response,API server is accessible,Send GET request to `/ping`,API returns successful status response,High
TC_API_002,Functional,Verify authentication token generation with valid credentials,Valid username/password available,Send POST request to `/auth` with valid credentials,Authentication token is generated,Critical
TC_API_003,Negative,Verify authentication fails with invalid username,API accessible,Send POST request with invalid username,Authentication request is rejected,High
TC_API_004,Negative,Verify authentication fails with invalid password,API accessible,Send POST request with invalid password,Authentication request is rejected,High
TC_API_005,Negative,Verify authentication fails when username is missing,API accessible,Send POST request without username,Validation error is returned,High
TC_API_006,Negative,Verify authentication fails when password is missing,API accessible,Send POST request without password,Validation error is returned,High
TC_API_007,Boundary,Verify authentication with empty credentials,API accessible,Send POST request with empty username/password,Request is rejected,Medium
TC_API_008,Security,Verify authentication endpoint handles special characters securely,API accessible,Send POST request with special characters in credentials,API handles request securely,High
TC_API_009,Functional,Verify retrieval of all booking IDs,Existing bookings available,Send GET request to `/booking`,List of booking IDs is returned,High
TC_API_010,Functional,Verify booking retrieval using firstname filter,Booking exists with target firstname,Send GET request with firstname filter,Matching bookings are returned,Medium
TC_API_011,Functional,Verify booking retrieval using lastname filter,Booking exists with target lastname,Send GET request with lastname filter,Matching bookings are returned,Medium
TC_API_012,Functional,Verify booking retrieval using check-in date filter,Booking exists with check-in date,Send GET request with check-in filter,Matching bookings are returned,Medium
TC_API_013,Functional,Verify booking retrieval using check-out date filter,Booking exists with check-out date,Send GET request with check-out filter,Matching bookings are returned,Medium
TC_API_014,Functional,Verify booking retrieval using combined filters,Matching booking exists,Send GET request using multiple filters,Results satisfy all filters,Medium
TC_API_015,Negative,Verify invalid date format handling in booking filters,API accessible,Send GET request with invalid date format,Validation or empty response is returned,Medium
TC_API_016,Edge Case,Verify behavior when no matching bookings exist,API accessible,Search with non-existing booking criteria,Empty response is returned,Medium
TC_API_017,Functional,Verify retrieval of booking details using valid booking ID,Valid booking exists,Send GET request using booking ID,Booking details are returned,Critical
TC_API_018,Negative,Verify retrieval using non-existing booking ID,API accessible,Send GET request using invalid booking ID,Error response is returned,High
TC_API_019,Negative,Verify retrieval using invalid booking ID format,API accessible,Send GET request using non-numeric ID,Validation or error response is returned,High
TC_API_020,Boundary,Verify retrieval using negative booking ID,API accessible,Send GET request using negative ID,Error response is returned,Medium
